intersect_bp,jaccard,max_containment,f_query_match,f_match_query,match_filename,match_name,match_md5,match_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative
38000,0.003971156860695997,0.008467023172905526,0.008467023172905526,0.007423324868138308,shew/2022-05-06_13-58-43/files/GCA_000013765.1_ASM1376v1_genomic.fna.gz,GCA_000013765.1 Shewanella denitrificans OS217,2aa60f37,4488000,shew/2022-05-06_13-58-43/files/GCA_000017325.1_ASM1732v1_genomic.fna.gz,GCA_000017325.1 Shewanella baltica OS185,c9249f74,5119000,19,DNA,1000,5119,False,0.7725493564904041,0.7779168834850028,0.7752331199877034,0.7779168834850028,False
181000,0.019022595901208618,0.03954555385623771,0.03954555385623771,0.03535846845086931,shew/2022-05-06_13-58-43/files/GCA_000014685.1_ASM1468v1_genomic.fna.gz,GCA_000014685.1 Shewanella sp. MR-4,31db42b6,4577000,shew/2022-05-06_13-58-43/files/GCA_000017325.1_ASM1732v1_genomic.fna.gz,GCA_000017325.1 Shewanella baltica OS185,c9249f74,5119000,19,DNA,1000,5119,False,0.8386966690279855,0.8436514064558688,0.8411740377419271,0.8436514064558688,False
30000,0.0030599755201958386,0.006362672322375398,0.006362672322375398,0.005860519632740769,shew/2022-05-06_13-58-43/files/GCA_000014705.1_ASM1470v1_genomic.fna.gz,GCA_000014705.1 Shewanella frigidimarina NCIMB 400,8c029d68,4715000,shew/2022-05-06_13-58-43/files/GCA_000017325.1_ASM1732v1_genomic.fna.gz,GCA_000017325.1 Shewanella baltica OS185,c9249f74,5119000,19,DNA,1000,5119,False,0.76299721712162,0.7663057458883457,0.7646514815049829,0.7663057458883457,False
25000,0.0023845860358641738,0.004883766360617308,0.00463821892393321,0.004883766360617308,shew/2022-05-06_13-58-43/files/GCA_000014885.1_ASM1488v1_genomic.fna.gz,GCA_000014885.1 Shewanella piezotolerans WP3,0c6cf719,5390000,shew/2022-05-06_13-58-43/files/GCA_000017325.1_ASM1732v1_genomic.fna.gz,GCA_000017325.1 Shewanella baltica OS185,c9249f74,5119000,19,DNA,1000,5119,False,0.7557106105226742,0.7536615882809671,0.7546860994018206,0.7557106105226742,False
379000,0.04060859316404157,0.08251687350315698,0.08251687350315698,0.07403789802695838,shew/2022-05-06_13-58-43/files/GCA_000015185.1_ASM1518v1_genomic.fna.gz,GCA_000015185.1 Shewanella sp. W3-18-1,0c0826ee,4593000,shew/2022-05-06_13-58-43/files/GCA_000017325.1_ASM1732v1_genomic.fna.gz,GCA_000017325.1 Shewanella baltica OS185,c9249f74,5119000,19,DNA,1000,5119,False,0.871962048862348,0.8769522263267966,0.8744571375945722,0.8769522263267966,False
22000,0.002337441563960901,0.0050984936268829665,0.0050984936268829665,0.0042977143973432315,shew/2022-05-06_13-58-43/files/GCA_000015245.1_ASM1524v1_genomic.fna.gz,GCA_000015245.1 Shewanella amazonensis SB2B,8a87da05,4315000,shew/2022-05-06_13-58-43/files/GCA_000017325.1_ASM1732v1_genomic.fna.gz,GCA_000017325.1 Shewanella baltica OS185,c9249f74,5119000,19,DNA,1000,5119,False,0.7506432010481798,0.7574239723530674,0.7540335867006236,0.7574239723530674,False
2776000,0.3804303138276004,0.5603552684699233,0.5603552684699233,0.5422934166829458,shew/2022-05-06_13-58-43/files/GCA_000015845.1_ASM1584v1_genomic.fna.gz,GCA_000015845.1 Shewanella baltica OS155,f9b3cafa,4954000,shew/2022-05-06_13-58-43/files/GCA_000017325.1_ASM1732v1_genomic.fna.gz,GCA_000017325.1 Shewanella baltica OS185,c9249f74,5119000,19,DNA,1000,5119,False,0.96830535420914,0.9699765494504857,0.9691409518298129,0.9699765494504857,False
24000,0.0024901431832330357,0.005282852740479859,0.005282852740479859,0.004688415706192616,shew/2022-05-06_13-58-43/files/GCA_000016065.1_ASM1606v1_genomic.fna.gz,GCA_000016065.1 Shewanella loihica PV-4,0473b23e,4543000,shew/2022-05-06_13-58-43/files/GCA_000017325.1_ASM1732v1_genomic.fna.gz,GCA_000017325.1 Shewanella baltica OS185,c9249f74,5119000,19,DNA,1000,5119,False,0.7540886896003767,0.758841325456865,0.7564650075286208,0.758841325456865,False
5119000,1.0,1.0,1.0,1.0,shew/2022-05-06_13-58-43/files/GCA_000017325.1_ASM1732v1_genomic.fna.gz,GCA_000017325.1 Shewanella baltica OS185,c9249f74,5119000,shew/2022-05-06_13-58-43/files/GCA_000017325.1_ASM1732v1_genomic.fna.gz,GCA_000017325.1 Shewanella baltica OS185,c9249f74,5119000,19,DNA,1000,5119,False,1.0,1.0,1.0,1.0,False
21000,0.001976842699802316,0.004102363742918539,0.003800904977375566,0.004102363742918539,shew/2022-05-06_13-58-43/files/GCA_000018025.1_ASM1802v1_genomic.fna.gz,GCA_000018025.1 Shewanella sediminis HAW-EB3,b1d18713,5525000,shew/2022-05-06_13-58-43/files/GCA_000017325.1_ASM1732v1_genomic.fna.gz,GCA_000017325.1 Shewanella baltica OS185,c9249f74,5119000,19,DNA,1000,5119,False,0.7488075579454082,0.7458055866457624,0.7473065722955853,0.7488075579454082,False
